objID,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,u,g,r,i,z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
587731512085774541,1.963916,2.960561,2.675572,2.585672,2.930859,3.093745,5.871306,5.553562,5.344691,7.606362,2.480582,2.202558,2.347604,2.380092,2.437148,20.19655,18.649601,17.708473,17.244997,16.85112,20.19655,18.649601,17.708473,17.244997,16.85112,20.631285,18.592688,17.744974,17.30307,16.798277
587727180621873273,4.619725,3.706743,3.564544,3.61303,2.685484,10.338108,8.460399,7.475032,8.015772,5.072605,2.287252,2.227003,2.216604,2.25442,2.247215,18.226563,17.231653,16.82136,16.559547,16.4198,18.226563,17.231653,16.82136,16.559547,16.4198,18.053425,17.189243,16.803812,16.531912,16.717794
588015507683803267,1.341827,1.664223,2.06021,1.730955,1.487772,4.678801,3.426511,5.135817,3.964936,3.314984,2.133889,2.034678,2.168889,2.096606,2.025918,21.226589,19.264318,18.234297,17.749966,17.435493,21.226589,19.264318,18.234297,17.749966,17.435493,21.520046,19.475546,18.210934,17.902489,17.711624
587727177937387681,1.744891,1.920406,1.789663,1.882003,1.908302,7.981799,5.814025,5.669127,5.954484,5.8123,0.922221,2.267774,2.326591,2.333498,2.301382,21.478006,19.125999,17.788527,17.248541,16.866894,21.478006,19.125999,17.788527,17.248541,16.866894,21.504736,19.13048,17.831703,17.251459,16.887186
588015507683803302,2.198604,2.91882,2.835366,2.907658,2.637358,5.39759,7.827363,7.402126,8.029684,6.955537,2.094301,2.345162,2.344218,2.340761,2.333414,19.226532,17.218044,16.287542,15.779304,15.427175,19.226532,17.218044,16.287542,15.779304,15.427175,19.757786,17.52508,16.615976,16.090706,15.799863
587724240159637635,1.058687,1.691735,1.749641,1.62452,1.536973,2.41033,4.304338,4.137383,3.867684,3.260687,1.922987,2.35343,2.433707,2.388819,2.290581,19.955164,18.606306,17.791201,17.297672,17.08913,19.955164,18.606306,17.791201,17.297672,17.08913,20.564383,18.785578,17.931492,17.515484,17.358814
587724240159637632,3.226879,2.382258,2.282237,2.291548,2.160988,7.600915,5.528086,5.623485,5.470574,5.51978,2.057747,2.203077,2.265979,2.283041,2.25739,19.94006,18.33037,17.413559,16.919353,16.591604,19.94006,18.33037,17.413559,16.919353,16.591604,19.555656,18.277132,17.381889,16.923435,16.636833
587724242844123307,4.002962,4.764785,4.597531,4.401815,3.310106,7.179857,8.81516,8.87332,8.361985,6.014592,0.580067,2.2131,2.27497,2.297581,2.148296,18.241974,17.164846,16.75666,16.507448,16.371574,18.241974,17.164846,16.75666,16.507448,16.371574,18.44714,17.200884,16.826351,16.618877,16.721189
587727177937387689,2.86759,2.817281,2.571351,2.243451,2.342152,5.208374,5.929807,6.095651,5.197966,5.574094,2.002731,2.128831,2.229784,2.235565,2.204928,19.644062,18.256153,17.562485,17.133604,16.879623,19.644062,18.256153,17.562485,17.133604,16.879623,19.539429,18.181513,17.561161,17.250244,16.967098
588015508220674304,3.53739,2.81823,2.726225,2.603868,2.381785,10.207291,6.264827,6.999323,6.473427,5.768265,0.643224,2.239936,2.262423,2.264498,2.276574,20.643829,18.81732,17.871529,17.408098,17.025049,20.643829,18.81732,17.871529,17.408098,17.025049,20.367857,18.774157,17.847368,17.443737,17.132879
588015509294416110,4.900645,3.61832,3.480098,3.045166,3.132063,15.450846,9.7755,10.517299,9.272138,9.358087,0.349215,2.34156,2.433449,2.440937,2.439461,20.384178,18.335104,17.101875,16.492672,16.027542,20.384178,18.335104,17.101875,16.492672,16.027542,19.966562,18.611439,17.474077,16.984575,16.527582
587731511548903564,2.187377,2.111776,1.937381,1.930993,1.954774,7.62785,6.081106,5.389688,5.445377,4.887575,2.113288,2.359592,2.397386,2.418877,2.475942,20.673658,18.656689,17.519922,17.003286,16.592653,20.673658,18.656689,17.519922,17.003286,16.592653,20.575277,18.731417,17.6474,17.13273,16.736959
587731512085774377,1.554886,1.616818,1.65112,1.647388,1.704916,2.450783,3.723668,3.972751,3.982953,4.503306,2.2895,2.340748,2.369877,2.398532,2.366107,20.121927,18.38715,17.52165,17.080811,16.692911,20.121927,18.38715,17.52165,17.080811,16.692911,20.420881,18.557106,17.663248,17.200857,16.794733
587727178474324112,2.778802,2.053061,1.981668,1.898789,1.861545,6.137667,5.854324,5.875594,5.67291,5.97084,2.361467,2.342603,2.379419,2.382547,2.32445,19.885649,17.950838,16.833704,16.310963,15.923564,19.885649,17.950838,16.833704,16.310963,15.923564,19.767319,18.012457,16.915424,16.430365,16.064129
587731514233258193,2.411122,2.689605,2.507913,2.47856,2.374828,3.520685,5.097457,4.815022,5.257694,4.410811,1.840647,2.153133,2.20001,2.280397,2.249444,20.227617,18.920431,17.995424,17.516846,17.171692,20.227617,18.920431,17.995424,17.516846,17.171692,20.413576,18.940002,18.069921,17.572018,17.311026
587724240159637650,3.888472,2.711465,2.723886,2.677115,2.744604,10.875723,8.226407,8.72074,8.603825,8.931115,2.377757,2.352701,2.39339,2.366929,2.350836,19.061544,17.109203,16.208023,15.757515,15.419322,19.061544,17.109203,16.208023,15.757515,15.419322,18.862658,17.159504,16.237566,15.819895,15.464475
